Column1,Column2,Column3,Column4,Column5,Column6,Column7
10,17,8,3,7,12,1
20,10,1,19,0,2,20
6,6,12,9,2,0,6
14,1,5,3,3,4,16
15,1,14,5,17,2,0
6,17,16,15,0,19,20
3,5,2,2,18,0,19
11,18,13,20,13,5,4
3,17,5,15,14,16,14
5,8,17,20,4,11,4
2,17,1,12,8,9,14
2,14,6,7,18,7,9
5,12,7,13,10,8,9
19,3,20,5,2,3,1
13,1,0,6,19,19,19
20,13,10,7,16,10,20
16,3,5,13,12,14,19
4,19,3,15,0,15,12
6,15,14,2,2,10,2
1,9,16,8,6,6,18
9,4,7,2,15,18,5
9,7,16,11,16,13,10
6,12,12,3,14,3,9
9,7,14,10,11,1,8
8,4,19,0,1,18,19
18,6,4,10,19,0,16
14,12,16,2,9,13,2
19,18,7,1,12,5,11
11,20,13,17,14,9,5
18,7,4,12,2,17,13
14,15,15,2,16,2,18
18,6,14,17,11,9,5
1,16,14,13,0,7,3
15,2,13,8,20,13,0
8,2,15,7,4,20,4
7,19,13,6,3,12,20
3,11,20,11,10,14,9
17,5,10,18,9,19,14
7,5,20,8,7,8,16
1,13,20,5,11,14,16
3,4,0,9,12,14,17
9,10,12,8,5,8,12
6,16,7,17,7,17,5
0,5,10,6,20,1,11
19,8,2,14,13,9,12
20,17,9,17,13,14,16
12,12,16,1,19,20,9
12,8,3,1,2,15,4
6,10,8,19,12,7,8
16,9,14,16,15,12,5
8,9,18,19,14,0,1
14,7,12,15,17,1,5
4,17,8,2,0,4,6
6,6,13,12,2,3,8
7,1,17,7,16,14,19
7,13,11,19,10,0,18
3,19,2,6,14,4,5
13,6,16,0,16,2,11
12,8,17,20,1,9,0
13,4,0,18,7,9,1
16,8,11,4,15,17,17
20,11,20,9,19,13,1
17,2,10,11,5,18,20
3,11,1,2,10,19,18
20,13,18,20,4,10,2
17,5,18,14,15,0,18
11,6,12,17,3,10,13
3,18,11,17,16,6,1
9,13,3,12,11,6,0
5,4,0,1,17,11,19
6,3,4,18,3,13,20
15,8,16,6,6,8,18
9,11,0,7,17,5,10
19,12,14,0,1,7,8
8,10,3,2,3,0,13
16,17,4,17,8,19,3
15,7,0,13,20,6,7
15,0,16,13,9,17,5
7,3,13,20,9,12,15
14,4,10,11,10,19,11
9,7,5,18,20,8,15
20,5,18,17,3,0,18
16,16,8,20,20,17,17
12,19,18,19,7,15,20
19,1,4,16,3,18,5
4,7,0,17,0,0,7
18,19,17,10,0,20,4
20,18,8,18,17,4,18
6,2,11,3,4,3,9
5,14,10,16,16,10,7
20,14,5,13,10,16,12
14,19,15,13,6,15,6
13,20,18,14,9,17,12
0,6,6,3,6,1,6
18,1,1,14,0,15,7
4,4,7,4,6,14,20
6,2,6,4,11,5,14
15,20,8,1,6,13,9
12,8,3,16,1,12,2
4,2,1,20,18,17,17
12,8,20,13,1,18,7
15,3,3,14,19,18,12
12,16,11,8,18,16,2
2,16,13,18,3,16,4
7,17,5,6,2,7,1
2,7,18,8,14,14,15
10,9,5,12,18,13,11
18,9,1,8,12,3,18
9,19,16,10,19,3,9
14,18,2,1,20,18,17
7,18,0,12,16,13,7
6,2,3,4,18,15,0
19,13,0,20,0,5,0
11,1,15,2,2,12,2
0,3,18,8,18,0,10
0,13,17,11,10,1,8
2,14,19,14,18,12,19
5,16,18,2,10,13,7
16,19,5,0,13,16,7
11,16,18,13,12,5,10
19,10,18,10,10,5,5
4,8,20,0,4,19,20
1,2,11,10,0,14,17
1,15,20,7,16,20,16
20,11,12,13,10,9,9
14,4,4,16,20,11,20
10,14,0,9,5,18,20
12,17,8,7,20,15,10
19,14,6,10,1,5,6
16,20,13,10,10,14,15
19,20,20,7,1,3,0
6,7,14,13,10,5,6
5,10,3,2,5,1,13
11,2,11,13,20,1,3
17,4,3,3,14,11,3
2,0,20,0,17,10,17
5,16,18,16,2,7,11
5,8,18,14,17,16,3
4,3,8,7,1,19,17
9,6,18,6,20,9,3
8,4,10,10,14,11,18
12,9,11,12,11,11,16
7,9,4,1,10,17,18
13,1,12,5,7,20,8
11,15,19,9,0,3,1
4,0,4,16,2,8,7
10,0,2,11,4,4,0
2,17,5,6,20,20,6
13,3,9,11,9,12,14
4,19,13,13,7,10,8
1,3,10,19,19,14,10
4,0,17,19,1,0,11
19,4,15,0,12,18,12
14,4,10,16,19,10,2
14,1,15,14,2,13,16
5,17,3,7,9,13,2
8,5,10,13,10,7,16
6,14,2,11,8,9,1
14,11,9,20,5,7,8
0,1,14,10,10,20,0
16,13,10,13,16,16,19
7,12,8,18,6,15,19
19,0,10,8,5,15,16
0,6,17,14,5,7,12
14,10,1,10,14,12,7
12,1,18,15,11,6,19
3,4,12,7,1,18,15
9,4,6,0,15,7,16
20,16,11,7,1,10,10
17,20,4,2,17,16,8
7,8,9,10,17,2,16
15,20,12,8,8,15,12
19,16,19,12,0,0,5
9,1,4,8,8,0,14
12,19,4,15,20,13,2
0,0,4,1,6,11,9
9,2,18,18,13,0,16
17,11,7,10,14,2,1
18,3,3,7,0,0,15
10,5,11,11,7,10,3
11,18,5,7,14,12,4
18,13,13,16,7,9,14
5,3,15,7,13,8,3
0,4,14,5,18,6,11
18,4,14,20,6,2,0
10,15,6,2,13,11,7
9,8,17,13,2,5,18
20,10,7,10,7,9,16
1,11,5,15,19,9,1
17,11,5,10,18,7,14
8,8,3,11,0,7,8
10,7,11,18,15,16,7
3,18,2,18,2,19,8
2,13,14,17,13,7,10
1,7,11,15,3,11,17
12,4,13,8,8,10,20
14,18,8,14,18,0,13
20,4,3,17,9,11,9
12,4,13,10,6,16,16
10,10,14,11,5,16,14
